"Setting","Overall","Subject-statistics","Subject-plane geometry","Subject-graph theory","Subject-scientific figure","Subject-puzzle test","Subject-analytic geometry","Subject-solid geometry","Subject-algebra","Subject-arithmetic","Level-undergraduate","Level-high school","Level-elementary school"
"Average","0.4001996007984032","0.4832","0.35194805194805195","0.41875","0.3977777777777778","0.1","0.4041237113402062","0.31333333333333335","0.39019607843137255","0.36538461538461536","0.384472049689441","0.3956678700361011","0.4603174603174603"
"Worst Case","0.12375249500998003","0.152","0.16883116883116883","0.10416666666666667","0.08888888888888889","0.0","0.08247422680412371","0.06666666666666667","0.13725490196078433","0.19230769230769232","0.11180124223602485","0.10469314079422383","0.23809523809523808"
