"Setting","Overall","Subject-statistics","Subject-scientific figure","Subject-graph theory","Subject-analytic geometry","Subject-puzzle test","Subject-plane geometry","Subject-algebra","Subject-arithmetic","Subject-solid geometry","Level-high school","Level-undergraduate","Level-elementary school"
"Average","0.3445109780439122","0.4336","0.3466666666666667","0.46875","0.4020618556701031","0.08823529411764706","0.274025974025974","0.24901960784313726","0.16923076923076924","0.10666666666666667","0.3270758122743682","0.35403726708074534","0.3968253968253968"
"Worst Case","0.10778443113772455","0.104","0.08888888888888889","0.14583333333333334","0.09278350515463918","0.0","0.14285714285714285","0.13725490196078433","0.11538461538461539","0.0","0.09747292418772563","0.10559006211180125","0.15873015873015872"
